,GLA,REIT,city,free_GLA,last_renovation,ownership,pct_lease,property_name,renovation_year,rent_per_sq,state,tenants,year_acquired,year_built,year_built_or_acquired,zipcode
624,1356350.0,GGP,Littleton,715986.0,,100.0,91.8,Southwest Plaza,,,CO,"[""Dillard's, JCPenney, Macy's, Sears""]",,,,
625,867920.0,GGP,Spokane,352309.0,,100.0,94.3,Spokane Valley Mall,,,WA,"[""JCPenney, Macy's, Sears""]",,,,
626,1253292.0,GGP,Staten Island,512778.0,,100.0,99.5,Staten Island Mall,,,NY,"[""Macy's, Sears, JCPenney""]",,,,
627,840261.0,GGP,San Francisco,411968.0,,100.0,98.8,Stonestown Galleria,,,CA,"[""Macy's, Nordstrom""]",,,,
628,768263.0,GGP,Portage,265302.0,,100.0,95.0,The Crossroads,,,MI,"[""Burlington Coat Factory, JCPenney, Macy's,"", 'Sears']",,,,
629,366019.0,GGP,Baltimore,99914.0,,100.0,86.6,The Gallery at Harborplace,,,MD,[nan],,,,
630,1021548.0,GGP,South Portland,479116.0,,100.0,99.7,The Maine Mall,,,ME,"[""Bon Ton, JCPenney, Macy's, Sears""]",,,,
631,1424993.0,GGP,Columbia,624825.0,,100.0,95.8,The Mall in Columbia,,,MD,"[""JCPenney, Lord & Taylor, Macy's, Nordstrom,"", 'Sears']",,,,
632,906104.0,GGP,Gainesville,348237.0,,100.0,94.7,The Oaks Mall,,,FL,"[""Belk, Dillard's, JCPenney, Macy's, Sears""]",,,,
633,1511265.0,GGP,Arlington,762320.0,,100.0,97.3,The Parks at Arlington,,,TX,"[""Dillard's, JCPenney, Macy's, Sears""]",,,,
634,1068091.0,GGP,Manchester,555480.0,,100.0,95.2,The Shoppes at Buckland Hills,,,CT,"[""JCPenney, Macy's, Macy's Men's & Home,"", 'Sears']",,,,
635,605575.0,GGP,Maumee,344073.0,,100.0,94.2,The Shops at Fallen Timbers,,,OH,"[""Dillard's, JCPenney""]",,,,
636,1316213.0,GGP,San Antonio,615553.0,,75.0,98.5,The Shops at La Cantera,,,TX,"[""Dillard's, Macy's, Neiman Marcus, Nordstrom""]",,,,
637,1334322.0,GGP,Durham,607975.0,,94.0,99.6,The Streets at Southpoint,,,NC,"[""Belk, JCPenney, Macy's, Nordstrom, Sears""]",,,,
638,1464030.0,GGP,Woodlands,708950.0,,100.0,99.7,The Woodlands Mall,,,TX,"[""Dillard's, JCPenney, Macy's, Nordstrom""]",,,,
639,1217770.0,GGP,Mesquite,408384.0,,100.0,100.0,Town East Mall,,,TX,"[""Dillard's, JCPenney, Macy's, Sears""]",,,,
